Rank,Name,Nationality,Age,Points,Year
1,MARTIN Logan,AUSTRALIA,28,2200,2021
2,SANDOVAL Daniel,UNITED STATES OF AMERICA,27,1900,2021
3,BRUCE Nick,UNITED STATES OF AMERICA,29,1730,2021
4,RANTEŠ Marin,CROATIA,26,1590,2021
5,DOWELL Justin,UNITED STATES OF AMERICA,21,1460,2021
6,RIZAEV Irek,RUSSIAN FEDERATION,24,1310,2021
7,MATTHEWS Joshua,AUSTRALIA,25,1180,2021
8,NAKAMURA Rimu,JAPAN,19,1150,2021
9,DHERS Daniel,BOLIVARIAN REPUBLIC OF VENEZUELA,36,1060,2021
10,WALLACE Ben,GREAT BRITAIN,35,850,2021
11,LOUPOS Brandon,AUSTRALIA,28,760,2021
12,BROOKS Declan,GREAT BRITAIN,25,750,2021
13,TOOHEY Jaie,AUSTRALIA,30,700,2021
14,CAILLET Istvan,FRANCE,29,660,2021
15,TENCIO ESQUIVEL Kenneth Fabian,COSTA RICA,28,620,2021
16,BARBERO Alessandro,ITALY,38,620,2021
17,JEANJEAN Anthony,FRANCE,23,550,2021
18,PERAZA GARCIA Kevin,MEXICO,27,490,2021
19,GILIMZIANOV Roman,RUSSIAN FEDERATION,26,460,2021
20,JONES James,GREAT BRITAIN,27,450,2021
21,AGARKOV Artem,RUSSIAN FEDERATION,25,367,2021
22,ALVIAREZ SANCHEZ Edy Jose,BOLIVARIAN REPUBLIC OF VENEZUELA,39,320,2021
23,CHRISTOPHER Marcus,UNITED STATES OF AMERICA,19,320,2021
24,BRINGER Maxime,FRANCE,24,310,2021
25,TORRES GOMEZ Jose,MEXICO,25,310,2021
26,PARADA GARCIA Netzer,MEXICO,24,290,2021
27,FOMINOV Nikita,RUSSIAN FEDERATION,22,269,2021
28,THÖLEN Paul,GERMANY,23,260,2021
29,BAUTISTA CRUZ Ivan,MEXICO,23,250,2021
30,PALA Gabriele,ITALY,19,240,2021
30,DE MEO PEREIRA Kevin Jesus,BOLIVARIAN REPUBLIC OF VENEZUELA,22,240,2021
32,LABRADOR RAMIREZ Moises Alejandro,BOLIVARIAN REPUBLIC OF VENEZUELA,23,240,2021
