Rank,Name,Nationality,Age,Points,Year
1,PAJON Mariana,COLOMBIA,30,905,2021
2,SMULDERS Laura,NETHERLANDS,28,860,2021
3,HOWELL Shanayah,ARUBA,22,685,2021
4,MAIRE Camille,FRANCE,27,615,2021
5,PETERSONE Vineta,LATVIA,22,586,2021
6,AFREMOVA Natalia,RUSSIAN FEDERATION,23,580,2021
7,BAAUW Judy,NETHERLANDS,27,565,2021
8,STANCIL Felicia,UNITED STATES OF AMERICA,26,495,2021
9,SMULDERS Merel,NETHERLANDS,23,490,2021
10,ETIENNE Axelle,FRANCE,23,485,2021
11,CLAESSENS Zoe,SWITZERLAND,20,480,2021
12,WILLOUGHBY Alise,UNITED STATES OF AMERICA,30,450,2021
13,SHRIEVER Bethany,GREAT BRITAIN,22,395,2021
14,RIDENOUR Payton,UNITED STATES OF AMERICA,19,385,2021
15,VERHAGEN Ashley,UNITED STATES OF AMERICA,30,360,2021
16,SUVOROVA Natalia,RUSSIAN FEDERATION,26,356,2021
17,VALENTINO Manon,FRANCE,31,350,2021
18,VAUGHN Daleny,UNITED STATES OF AMERICA,20,328,2021
19,ESCOBAR YEPES Andrea,COLOMBIA,24,295,2021
20,BONDARENKO Yaroslava,RUSSIAN FEDERATION,24,283,2021
21,HATAKEYAMA Sae,JAPAN,22,280,2021
22,BARTUŇKOVÁ Eliška,CZECH REPUBLIC,20,280,2021
23,BOLLE CARRILLO Gabriela,COLOMBIA,21,270,2021
24,CHRISTENSEN Simone,DENMARK,27,255,2021
25,VANHOOF Elke,BELGIUM,30,255,2021
26,HERNANDEZ Stefany,BOLIVARIAN REPUBLIC OF VENEZUELA,30,240,2021
27,VAN BENTHEM Merle,NETHERLANDS,29,210,2021
28,MOROT Charlotte,FRANCE,21,205,2021
29,SAKAKIBARA Saya,AUSTRALIA,22,200,2021
30,SIMPSON Molly,CANADA,19,190,2021
31,OVCHINNIKOVA Varvara,RUSSIAN FEDERATION,21,180,2021
32,ADMAKINA Svetlana,RUSSIAN FEDERATION,23,180,2021
33,LESTARI Wiji,INDONESIA,21,165,2021
34,HUISMAN Ruby,NETHERLANDS,23,160,2021
35,RESTREPO RESTREPO Maria Camila,COLOMBIA,22,160,2021
36,REYNOLDS Lauren,AUSTRALIA,30,155,2021
37,STEVAUX CARNAVAL Priscilla Andreia,BRAZIL,28,155,2021
38,BALLE Rikke,DENMARK,20,155,2021
39,DEVOLDER Charlotte,FRANCE,24,140,2021
40,PRIES Nadja,GERMANY,27,135,2021
41,MECHIELSEN Drew,CANADA,24,135,2021
42,AZUERO Domenica,ECUADOR,25,130,2021
43,DOUDOUX Mathilde,FRANCE,25,130,2021
44,OCHOA Jersarith,BOLIVARIAN REPUBLIC OF VENEZUELA,24,125,2021
45,PETCH Rebecca,NEW ZEALAND,23,120,2021
46,WALKER Sarah,NEW ZEALAND,33,115,2021
47,BERÁKOVÁ Michaela,CZECH REPUBLIC,25,115,2021
47,NUROH Titin,INDONESIA,21,115,2021
49,VEENSTRA Manon,NETHERLANDS,23,115,2021
50,BUCHANAN Caroline,AUSTRALIA,31,115,2021
51,DONZALLAZ Eloïse,SWITZERLAND,21,105,2021
52,NOPIANTI Cupi,INDONESIA,24,105,2021
53,CARRERA CHALA Karla Belen,ECUADOR,25,100,2021
54,DUM Michel,BOLIVARIAN REPUBLIC OF VENEZUELA,26,100,2021
