Rank;Prior Rank;Rank Change;Team Name;Country;Total Points;Points Current Period;Points Previous Period;Events Current Period;Events Previous Period;Current Best Score;Current 2nd Score;Current 3rd Score;Previous Best Score;Previous 2nd Score;Previous 3rd Score
1;1;0;Team I France;FRA;4134,5;2450;1684,5;3;2;;1000;800;1000;;
2;2;0;Team I Australia;AUS;4013,79;1488,79;2525;2;3;;855,63;;925;;800
3;3;0;Team I United States;USA;3764,63;1369;2395,63;2;3;;;;855,63;800;740
4;4;0;Team I Great Britain;GBR;3611,45;2080;1531,45;3;2;;740;740;791,45;;
5;5;0;Team I New Zealand;NZL;3500,45;1591,45;1909;2;3;800;791,45;;;;684,5
6;6;0;Team I Germany;GER;3229,29;1526,25;1703,04;2;3;925;;601,25;;677,19;
7;7;0;Team I Netherlands;NED;2916,88;1599,11;1317,77;3;2;;;579,42;732,09;585,68;
8;8;0;Team I Belgium;BEL;2871,91;1682,59;1189,32;3;2;;626,4;;633,16;;556,16
9;9;0;Team I Switzerland;SUI;2778,54;1056,12;1722,42;2;3;;;555;601,25;579,42;
10;10;0;Team I Italy;ITA;2725,32;1218,84;1506,48;2;3;633,16;585,68;;;;541,75
11;11;0;Team I Canada;CAN;2704,96;1206,96;1498;2;3;732,09;;;;501,12;501,12
12;12;0;Team I Japan;JPN;2541,85;1370,45;1171,4;3;2;;;545;626,4;545;
13;13;0;Team I Spain;ESP;2483,28;1595,56;887,72;3;2;677,19;541,75;;;;463,53
14;14;0;Team I Hungary;HUN;2054,44;751,02;1303,42;2;3;;428,77;;514,44;;396,61
15;15;0;Team I Mexico;MEX;1927,01;642,02;1284,99;2;3;;;366,87;541,13;396,61;
16;16;0;Team I South Africa;RSA;1846,42;973,53;872,89;2;3;510;463,53;;;;335,73
17;17;0;Team I Portugal;POR;1678,66;475,86;1202,8;1;3;475,86;;;;428,77;407,16
18;18;0;Team I Russia;RUS;1624,09;690,45;933,64;2;3;392,37;;;;362,95;322,25
19;19;0;Team I Brazil;BRA;1610,31;339,35;1270,96;1;3;;;339,35;585;375,41;
20;20;0;Team I Denmark;DEN;1226,65;0;1226,65;0;3;;;;475,86;463,53;287,26
21;21;0;Team I South Korea;KOR;970,45;466,32;504,13;1;1;;466,32;;504,13;;
22;22;0;Team I China;CHN;935,47;504,13;431,34;1;1;504,13;;;;431,34;
23;23;0;Team I Austria;AUT;902,34;0;902,34;0;3;;;;313,9;298,08;290,36
24;24;0;Team I Hong Kong, China;HKG;897,66;431,34;466,32;1;1;;431,34;;466,32;;
25;25;0;Team I Czech Republic;CZE;852,88;348,38;504,5;1;2;348,38;;;;268,58;235,92
26;26;0;Team I Chinese Taipei;TPE;797,98;398,99;398,99;1;1;398,99;;;;398,99;
27;27;0;Team I Argentina;ARG;749,49;0;749,49;0;2;;;;428,28;321,21;
28;28;0;Team I Philippines;PHI;710,46;341,39;369,07;1;1;;341,39;;369,07;;
29;29;0;Team I Zimbabwe;ZIM;471,75;471,75;0;1;0;471,75;;;;;
30;30;0;Team I Ecuador;ECU;463;0;463;0;1;;;;463;;
31;31;0;Team I Tunisia;TUN;436,37;436,37;0;1;0;436,37;;;;;
32;32;0;Team I Chile;CHI;396,15;0;396,15;0;1;;;;396,15;;
33;33;0;Team I Kazakhstan;KAZ;369,07;369,07;0;1;0;369,07;;;;;
34;34;0;Team I Colombia;COL;366,44;0;366,44;0;1;;;;366,44;;
35;35;0;Team I Poland;POL;255,04;0;255,04;0;1;;;;255,04;;
36;36;0;Team I Slovakia;SVK;201,85;0;201,85;0;1;;;;201,85;;
37;37;0;Team I Ireland;IRL;186,72;0;186,72;0;1;;;;186,72;;
