Rank;Prior Rank;Rank Change;First Name;Last Name;YOB;Country;Total Points;Events First Period;Events Second Period;Points First Period;Points Second Period;Period 1 Best Score;Period 1 2nd Score;Period 1 3rd Score;Period 1 4th Score;Period 1 5th Score;Period 1 6th Score;Period 1 7th Score;Period 2 Best Score;Period 2 2nd Score;Period 2 3rd Score;Period 2 4th Score;Period 2 5th Score;Period 2 6th Score;Period 2 7th Score
1;1;0;Mario;Mola;1990;ESP;10120,66;7;5;6481,25;3639,41;1156,25;1000;1000;925;800;800;800;1156,25;740;740;633,16;370;;
2;2;0;Vincent;Luis;1989;FRA;9359,69;6;6;4764,51;4595,18;1250;855,63;791,45;740;585,68;541,75;;1000;915,12;740;677,19;677,19;585,68;
3;3;0;Kristian;Blummenfelt;1994;NOR;8249,23;6;6;3985,8;4263,43;925;915,12;740;732,09;427,81;245,78;;1250;1000;677,19;585,68;500;250,56;
4;5;1;Fernando;Alarza;1991;ESP;7842,89;6;6;3763,48;4079,41;855,63;684,5;633,16;573,23;535,96;481;;1069,53;791,45;677,19;541,75;535,96;463,53;
5;4;-1;Jacob;Birtwhistle;1995;AUS;7457,42;6;6;4297,34;3160,08;925;855,63;783;684,5;585,68;463,53;;1000;800;573,23;396,61;210,3;179,94;
6;6;0;Marten;Van Riel;1992;BEL;7320,28;5;7;2849,21;4471,07;732,09;669,95;501,12;501,12;444,93;;;855,63;684,5;669,95;626,4;626,4;579,42;428,77
7;7;0;Tyler;Mislawchuk;1994;CAN;6689,45;7;5;3563,23;3126,22;791,45;619,71;579,42;463,53;400;366,87;342,25;1250;684,5;428,77;400;362,95;;
8;8;0;Henri;Schoeman;1991;RSA;6556,36;6;6;3012,83;3543,53;846,48;677,19;501,12;335,73;335,73;316,58;;925;791,45;732,09;669,95;243,16;181,88;
9;9;0;Jonathan;Brownlee;1990;GBR;6490,08;5;7;2864,19;3625,89;724,27;633,16;585,68;462,5;458,58;;;915,12;800;724,27;535,96;400;179,94;70,6
10;10;0;Gustav;Iden;1996;NOR;5807,47;5;7;2179,49;3627,98;855,63;500;500;168,24;155,62;;;989,32;989,32;535,96;366,87;290,36;289,71;166,44
11;11;0;Bence;Bicsák;1995;HUN;5784,78;7;5;3128,28;2656,5;732,09;626,4;535,96;395,73;395,73;229,8;212,57;855,63;783;463,53;342,25;212,09;;
12;12;0;Jelle;Geens;1993;BEL;5774,15;5;7;1821,73;3952,42;424,19;400;380,69;339,35;277,5;;;925;800;684,5;444,93;427,81;362,95;307,23
13;13;0;Richard;Murray;1989;RSA;5608,34;7;4;4296,12;1312,22;1069,53;1000;791,45;684,5;463,53;153,96;133,15;633,16;359,07;287,26;32,73;;;
14;14;0;Pierre;Le Corre;1990;FRA;5416,51;6;4;3552,21;1864,3;989,32;791,45;677,19;520;392,37;181,88;;724,27;579,42;392,37;168,24;;;
15;15;0;Hayden;Wilde;1997;NZL;5411,99;6;6;1832,07;3579,92;396,61;370;316,58;270,6;267,98;210,3;;1069,53;732,09;633,16;541,75;310,55;292,84;
16;16;0;Morgan;Pearson;1993;USA;5340,8;5;7;1311,65;4029,15;362,95;292,84;250,56;237,44;167,86;;;925;855,63;573,23;541,75;427,81;370;335,73
17;21;4;Alex;Yee;1998;GBR;5282,73;4;7;1799,58;3483,15;740;427,81;400;231,77;;;;1000;791,45;732,09;490,47;335,73;103,14;30,27
18;22;4;Léo;Bergere;1996;FRA;4863,83;5;6;2049,03;2814,8;633,16;495,76;396,61;313,2;210,3;;;626,4;585,68;579,42;530,24;265,71;227,35;
19;17;-2;Sam;Ward;1994;NZL;4691,03;7;3;3322,29;1368,74;579,42;579,42;541,75;490,47;396,61;392,37;342,25;732,09;495,76;140,89;;;;
20;18;-2;Matthew;McElroy;1992;USA;4666,03;5;7;1339,15;3326,88;366,87;292,84;287,26;210,3;181,88;;;925;500;500;400;388,18;320,86;292,84
21;19;-2;Javier;Gomez Noya;1983;ESP;4603,7;2;5;1217,84;3385,86;925;292,84;;;;;;855,63;846,48;791,45;463,53;428,77;;
22;20;-2;Jonas;Schomburg;1994;GER;4490,72;5;7;1162,55;3328,17;265,71;257,8;214,38;212,57;212,09;;;619,71;495,76;495,76;495,76;458,58;395,73;366,87
23;25;2;Antonio;Serrat Seoane;1995;ESP;4323,29;5;7;1975,39;2347,9;495,76;462,5;458,58;292,84;265,71;;;579,42;335,73;316,58;313,9;268,58;267,98;265,71
24;26;2;Dorian;Coninx;1994;FRA;4287,01;6;5;2635,83;1651,18;1000;541,75;419,66;335,73;290,36;48,33;;424,19;424,19;392,37;287,26;123,17;;
25;23;-2;Alois;Knabl;1992;AUT;4176,53;7;5;2262,91;1913,62;458,58;339,35;338,59;310,55;287,26;265,71;262,87;619,71;530,24;392,37;227,35;143,95;;
26;24;-2;Casper;Stornes;1997;NOR;4085,92;6;6;1509,96;2575,96;313,9;307,23;289,71;287,26;214,38;97,48;;1156,25;783;265,71;145,18;142,41;83,41;
27;29;2;Joao;Silva;1989;POR;3883,61;6;6;1869,69;2013,92;626,4;342,25;310,55;290,36;248,44;51,69;;846,48;500;214,38;168,24;142,41;142,41;
28;27;-1;Joao;Pereira;1987;POR;3839,63;7;4;2441,94;1397,69;626,4;579,42;342,25;339,35;256,69;192,45;105,38;481;338,59;307,23;270,87;;;
29;30;1;Aaron;Royle;1990;AUS;3790,31;6;6;1838,48;1951,83;392,37;366,87;362,95;245,78;243,16;227,35;;458,58;388,18;339,35;289,71;265,71;210,3;
30;28;-2;Eli;Hemming;1995;USA;3784,56;6;6;2027,02;1757,54;462,5;388,18;342,25;313,9;292,84;227,35;;500;462,5;292,84;169,68;167,86;164,66;
31;31;0;Crisanto;Grajales;1987;MEX;3615,11;7;5;2095,03;1520,08;530,24;432,9;316,92;270,87;196,19;181,47;166,44;453,68;313,2;270,87;250,56;231,77;;
32;32;0;Andreas;Schilling;1991;DEN;3603,38;7;3;2801,74;801,64;732,09;428,77;428,77;424,19;290,36;287,26;210,3;366,05;301,3;134,29;;;;
33;33;0;Luke;Willian;1996;AUS;3545,63;7;5;2096,13;1449,5;535,96;400;316,58;284,19;196,63;194,53;168,24;626,4;289,71;262,87;155,62;114,9;;
34;35;1;Thomas;Bishop;1991;GBR;3528,19;6;6;1893,56;1634,63;677,19;428,77;229,8;224,92;166,44;166,44;;419,66;392,37;310,55;227,35;194,53;90,17;
35;34;-1;Alessandro;Fabian;1988;ITA;3297,32;6;6;1879,04;1418,28;427,81;395,73;362,95;292,84;267,98;131,73;;396,61;284,19;229,8;224,92;167,86;114,9;
36;36;0;Kevin;McDowell;1992;USA;3244,17;3;7;655,41;2588,76;316,58;181,88;156,95;;;;;462,5;458,58;395,73;342,25;342,25;316,58;270,87
37;39;2;Shachar;Sagiv;1994;ISR;3215,69;6;6;1661,29;1554,4;453,68;313,2;250,56;248,44;238,46;156,95;;490,47;313,9;257,8;227,35;133,15;131,73;
38;37;-1;Max;Studer;1996;SUI;3203,57;5;7;768,92;2434,65;400;229,29;71,97;48,74;18,92;;;462,5;462,5;395,73;316,58;313,9;270,87;212,57
39;38;-1;Ryan;Bailie;1990;AUS;3157,65;5;7;1516,67;1640,98;626,4;495,76;289,71;84,12;20,68;;;366,05;332,14;292,84;247,88;247,88;98,31;55,88
40;40;0;Simon;Viain;1993;FRA;3054,55;7;5;2119,01;935,54;535,96;458,58;424,19;270,87;196,63;194,53;38,25;339,35;245,78;212,57;71,97;65,87;;
41;41;0;Lasse;Lührs;1996;GER;2967,99;7;4;2057,85;910,14;424,19;395,73;370;366,05;231,77;179,94;90,17;290,36;274,54;212,09;133,15;;;
42;42;0;Matthew;Sharpe;1991;CAN;2920,88;6;6;1493,66;1427,22;359,07;292,84;245,78;229,8;198,31;167,86;;313,2;270,87;248,44;231,77;181,47;181,47;
43;43;0;Manoel;Messias;1996;BRA;2871,63;7;3;1984,2;887,43;468;370,4;370;370;167,86;160,79;77,15;400;342,25;145,18;;;;
44;44;0;Irving;Perez;1986;MEX;2855,1;5;7;1121,15;1733,95;468;212,57;166,44;142,41;131,73;;;395,73;267,98;243,16;229,8;229,29;198,31;169,68
45;45;0;Vicente;Hernandez;1991;ESP;2814,53;7;3;2007,01;807,52;500;366,05;332,14;214,38;214,38;196,63;183,43;325,73;287,26;194,53;;;;
