Rank;Prior Rank;Rank Change;First Name;Last Name;YOB;Country;Total Points;Events First Period;Events Second Period;Points First Period;Points Second Period;Period 1 Best Score;Period 1 2nd Score;Period 1 3rd Score;Period 1 4th Score;Period 1 5th Score;Period 1 6th Score;Period 1 7th Score;Period 2 Best Score;Period 2 2nd Score;Period 2 3rd Score;Period 2 4th Score;Period 2 5th Score;Period 2 6th Score;Period 2 7th Score
1;1;0;Katie;Zaferes;1989;USA;10500,37;7;5;6259,66;4240,71;1069,53;1000;925;925;855,63;800;684,5;1250;1000;925;800;265,71;;
2;2;0;Georgia;Taylor-Brown;1994;GBR;8844,43;7;5;4717,13;4127,3;925;855,63;732,09;724,27;684,5;428,77;366,87;1069,53;1000;740;732,09;585,68;;
3;4;1;Jessica;Learmonth;1988;GBR;8754,3;7;5;4455,73;4298,57;925;684,5;633,16;579,42;579,42;573,23;481;1156,25;925;855,63;684,5;677,19;;
4;3;-1;Taylor;Spivey;1991;USA;8548,61;5;7;3452,99;5095,62;783;740;677,19;626,4;626,4;;;855,63;791,45;791,45;724,27;677,19;669,95;585,68
5;5;0;Vicky;Holland;1986;GBR;7828,96;6;6;4755,51;3073,45;1156,25;1000;1000;800;463,53;335,73;;1069,53;626,4;428,77;366,05;332,14;250,56;
6;6;0;Summer;Rappaport;1991;USA;7442,71;5;7;2464,91;4977,8;677,19;500;463,53;424,19;400;;;925;925;915,12;740;684,5;400;388,18
7;7;0;Laura;Lindemann;1996;GER;7129,31;5;7;3003,51;4125,8;989,32;740;495,76;411,56;366,87;;;846,48;846,48;535,96;501,12;500;495,76;400
8;8;0;Non;Stanford;1989;GBR;6713,84;5;6;2905,67;3808,17;855,63;585,68;541,75;530,24;392,37;;;800;783;732,09;626,4;579,42;287,26;
9;9;0;Rachel;Klamer;1990;NED;5734,02;7;5;2897,28;2836,74;791,45;458,58;366,87;339,35;316,58;313,9;310,55;989,32;633,16;458,58;396,61;359,07;;
10;13;3;Sophie;Coldwell;1995;GBR;5491,43;5;7;1571,87;3919,56;500;424,19;316,58;166,44;164,66;;;855,63;677,19;669,95;535,96;490,47;400;290,36
11;10;-1;Taylor;Knibb;1998;USA;5490,23;7;5;2600,19;2890,04;633,16;535,96;462,5;313,2;248,44;210,3;196,63;1000;585,68;462,5;453,68;388,18;;
12;14;2;Cassandre;Beaugrand;1997;FRA;5445,1;5;6;2571,25;2873,85;800;579,42;501,12;444,93;245,78;;;740;579,42;495,76;392,37;359,07;307,23;
13;11;-2;Ashleigh;Gentle;1991;AUS;5416,79;7;4;4112,84;1303,95;1250;791,45;740;400;396,61;392,37;142,41;684,5;243,16;208,05;168,24;;;
14;12;-2;Claire;Michel;1988;BEL;5321,98;5;7;1937,24;3384,74;732,09;380,69;289,71;284,19;250,56;;;633,16;541,75;535,96;462,5;444,93;424,19;342,25
15;15;0;Alice;Betto;1987;ITA;5265,32;5;7;1673,68;3591,64;458,58;424,19;310,55;250,56;229,8;;;1156,25;724,27;633,16;458,58;227,35;212,09;179,94
16;18;2;Kirsten;Kasper;1991;USA;4818,42;5;7;2357,91;2460,51;915,12;585,68;313,9;277,5;265,71;;;453,68;427,81;362,95;335,73;316,58;313,2;250,56
17;16;-1;Vendula;Frintova;1983;CZE;4788,85;7;5;2629,66;2159,19;626,4;500;352,14;338,59;287,26;268,58;256,69;500;458,58;424,19;395,73;380,69;;
18;17;-1;Lisa;Perterer;1991;AUT;4773,78;7;5;2972,35;1801,43;791,45;419,66;400;395,73;335,73;316,58;313,2;541,75;419,66;342,25;262,87;234,9;;
19;27;8;Flora;Duffy;1987;BER;4695,43;2;4;1396,61;3298,82;1000;396,61;;;;;;1250;915,12;791,45;342,25;;;
